webtoon_id,title,genre,episodes,Created_by,view,subscribe,grade,released_date,likes
1218,Let's Play,Romance,171,Leeanne M. Krecic (Mongie),606.5M,4.6M,9.59,"Nov 6, 2017",37.2M
1436,True Beauty,Romance,197,Yaongyi,874M,7M,9.53,"Aug 15, 2018",46.2M
2135,The Remarried Empress,Fantasy,110,,231.3M,2.5M,9.87,"Sep 5, 2020",21.2M
1798,Midnight Poppy Land,Romance,99,Lilydusk,198.8M,2.3M,9.8,"Nov 22, 2019",13.5M
3416,Reunion,Romance,9,stephattyy,7.1M,629872,9.77,"Mar 17, 2022",570151
2677,Teenage Mercenary,Action,48,,40.8M,1M,9.86,"Jun 29, 2021",3.7M
2921,Sixth Sense Kiss,Romance,48,,33.1M,772769,9.75,"Jun 18, 2021",3M
986,I Love Yoo,Drama,186,Quimchee,552.2M,4.5M,9.76,"Jun 30, 2017",32.2M
1364,Age Matters,Romance,156,Enjelicious,374.9M,3.6M,9.79,"Apr 21, 2018",27.4M
2684,Get Schooled,Drama,53,,28.7M,777241,9.8,"May 15, 2021",3.1M
3272,Fictional Skin,Drama,3,Kris Nguyen,942287,101913,9.83,"May 1, 2022",73586
3484,Perfect Marriage Revenge,Romance,31,,17.4M,626282,9.64,"Oct 16, 2021",1.8M
1513,Acception,Drama,200,Colourbee,138M,826404,9.02,"Jan 14, 2019",12.2M
1536,Edith,Romance,110,Swansgarden,109.2M,1.3M,9.69,"Feb 10, 2019",9.9M
3591,Wished You Were Dead,Drama,27,,10.9M,537851,9.11,"Nov 12, 2021",1.2M
3691,The RUNWAY,Romance,23,,10.5M,487910,9.43,"Dec 15, 2021",873929
3993,My Reason to Die,Romance,3,YUJU,796463,129205,9.64,"May 2, 2022",65470
1621,Purple Hyacinth,Mystery,121,,93.8M,1.5M,9.91,"May 20, 2019",11.4M
3438,Double-Binded By Love,Romance,5,,1.7M,138815,8.21,"Apr 8, 2022",122177
1524,The Four of Them,Drama,129,Mai Hirschfeld_,84.2M,1.1M,9.58,"Jan 27, 2019",7.4M
2009,Your Throne,Fantasy,118,SAM,106.2M,1.5M,9.81,"May 15, 2020",11.5M
2767,She's Hopeless,Drama,53,Seokwoo,31.1M,848944,9.58,"May 14, 2021",3.4M
3790,Secretary Out-of-Order,Romance,19,,9M,415837,9.06,"Jan 10, 2022",828119
1102,Boyfriend of the Dead,Comedy,361,Ushio,407.9M,2M,9.74,"Jul 14, 2017",28.3M
3363,Archie Comics:Big Ethel Energy,Drama,35,,16.3M,374158,8.68,"Sep 21, 2021",1.5M
3689,Bitten Contract,Romance,22,sungeun,7.1M,391881,9.65,"Dec 16, 2021",745089
1726,Weak Hero,Action,186,,161.2M,1.2M,9.84,"Sep 9, 2019",12.1M
4094,A Whirlwind Campus Affair,Drama,6,Uiyoung,1.3M,170627,9.51,"Apr 8, 2022",132246
2224,Love Me Knot,Romance,83,Sophia,41.9M,906246,9.34,"Sep 15, 2020",5.4M
1049,Lookism,Drama,385,Taejun Pak,550.5M,2.5M,9.78,"Jun 4, 2017",38.8M
3964,Another Love,Romance,11,,3.4M,264439,9.69,"Mar 11, 2022",302890
4079,The Fox Club,Romance,7,HJ. Hwang,1.4M,118943,9.08,"Apr 5, 2022",127279
3164,From a Knight to a Lady,Fantasy,40,Ink.,11.9M,441009,9.73,"Aug 14, 2021",1.6M
2534,Shotgun Boy,Thriller,62,Carnby Kim,32.5M,834795,9.82,"Mar 17, 2021",3.5M
3479,Housekeeper,Sci-fi,3,,462099,78745,9.73,"May 3, 2022",40078
1420,Odd Girl Out,Drama,308,Morangji,157.2M,873111,9.84,"Jul 12, 2018",18.2M
3596,The Greatest Estate Developer,Fantasy,26,,4.7M,220997,9.89,"Nov 20, 2021",672703
2509,Seasons of Blossom,Romance,84,,41.5M,763176,9.87,"Mar 22, 2021",5.2M
2533,To You Who Swallowed a Star,Romance,64,ARI,19.9M,477053,9.51,"Mar 7, 2021",2.8M
4161,Write to Your Heart!,Drama,3,vaguni,453289,54779,9.22,"May 3, 2022",31696
4118,Mistake,Drama,4,,527258,127368,7.82,"Apr 25, 2022",46313
2268,Viral Hit,Action,111,,42.6M,612900,9.84,"Oct 12, 2020",4.4M
1882,Lost in Translation,Drama,115,Jjolee,38.8M,616928,9.71,"Mar 12, 2020",5.9M
4115,The Tax Reaper,Drama,8,,2M,191062,9.06,"Apr 4, 2022",187269
3595,Study Group,Action,27,,6.2M,379267,9.76,"Nov 13, 2021",700255
3994,Aza,Fantasy,10,usaesae,2.3M,249848,9.75,"Mar 13, 2022",223827
4006,The Prenup,Romance,12,,2.6M,200672,8.22,"Mar 8, 2022",219843
2010,It's Mine,Thriller,155,LuckS,84.9M,1.2M,9.73,"Apr 19, 2020",9.2M
3647,Seven Years Later,Drama,4,,457402,137276,9.7,"Apr 25, 2022",50443
2395,Secret Playlist,Romance,73,2F,26.5M,615680,9.62,"Dec 24, 2020",3.6M
3345,"Date First, Love Later",Romance,36,,8.4M,320764,9.62,"Sep 14, 2021",842058
2683,Let Me Stay Over Tonight!,Romance,54,Yunana,9.9M,295933,9.1,"May 9, 2021",1.5M
3162,The Blood of the Butterfly,Fantasy,39,Remin,8.5M,422849,9.7,"Aug 20, 2021",1M
2049,"Mom, I'm Sorry",Drama,101,,38.8M,802246,9.71,"Jun 11, 2020",5.1M
3909,A Chance At Last,Romance,15,,2M,167054,9.82,"Feb 8, 2022",247377
2510,Neon Revenge,Action,43,Gisong,10.9M,364299,9.67,"Mar 9, 2021",1.6M
1435,Watermelon,Fantasy,137,Rorita,60.9M,739655,9.8,"Aug 14, 2018",5.7M
2527,Raven Saga,Fantasy,62,Chihiro Howe,7.6M,220083,9.77,"Mar 11, 2021",1.5M
1972,Before We Knew It,Romance,110,Nakano Mayaka,42.5M,701599,8.77,"Apr 11, 2020",4.2M
3387,Señorita Cometa,Mystery,8,Arechan,907967,140594,9.61,"Mar 25, 2022",114510
1264,No Longer A Heroine!,Drama,83,Maenggi Ki,21.2M,421618,9.36,"Nov 29, 2020",3M
1494,The Croaking,Fantasy,157,echorise,48.8M,596743,9.78,"Dec 7, 2018",5.9M
3477,Blue,Drama,4,kennsaty,347872,115215,9.85,"Apr 25, 2022",49334
2113,Back to You,Drama,96,Honey B,32.2M,698292,9.65,"Jul 23, 2020",4.2M
2716,Madame Outlaw,Historical,51,,7.5M,280862,9.49,"Jun 3, 2021",1.2M
3787,To Not Die,Drama,19,,2M,148643,9.65,"Jan 10, 2022",206983
3577,Flawed Almighty,Supernatural,28,,6.5M,207891,9.56,"Nov 7, 2021",682435
3093,After School Lessonsfor Unripe Apples,Drama,44,Soonkki,5.5M,168931,9.91,"Jul 17, 2021",910455
3917,Manager Kim,Action,14,,1.5M,141087,9.79,"Feb 11, 2022",181395
4117,Who's Mr. President?,Drama,4,KING Productions,335454,89103,9.88,"Apr 25, 2022",44310
2744,Woven,Fantasy,10,Lark & Wren,936952,120286,9.74,"Mar 11, 2022",136408
2467,There's Love Hidden in Lies,Romance,66,Kawai Aporo,11M,284481,7.86,"Feb 13, 2021",1.4M
3201,Unwritten Death,Romance,41,MaracuyasArt,5.6M,212329,9.65,"Aug 9, 2021",601125
3908,Daytime Star,Drama,15,,1.4M,140385,9.72,"Feb 7, 2022",200068
1445,Heir's Game,Drama,154,suspu,29.7M,295944,9.73,"Sep 10, 2018",4.2M
3210,The Spark in Your Eyes,Fantasy,41,MURO,4.2M,227865,9.7,"Aug 13, 2021",585870
3360,Romance Punch,Comedy,5,Galang Larope,267619,63116,8.95,"Apr 25, 2022",25614
1809,The Girl Downstairs,Romance,132,Songah Min,35.6M,556028,9.54,"Nov 12, 2019",3.5M
400,Space Boy,Sci-fi,317,Stephen McCranie,74.3M,432030,9.84,"Mar 5, 2015",6.9M
1623,Bad Signs,Comedy,105,Jimena Aranda,13.5M,259147,9.55,"May 31, 2019",2M
2277,Pyramid Game,Drama,66,Dalgonyak,8.3M,223307,9.6,"Feb 17, 2021",1.4M
1929,Lone,Fantasy,97,Mel0h,14.4M,313516,9.71,"Mar 13, 2020",1.9M
3089,The Nuna at Our Office,Drama,45,,4.5M,227316,9.53,"Jul 15, 2021",538447
1669,Random Chat,Drama,149,PARK EUN HYUK,24.6M,342983,9.61,"Jul 12, 2019",2.6M
3910,A DeadbEAT's Meal,Slice of life,15,CHEESE,1.2M,106241,9.18,"Feb 8, 2022",157040
2872,Ghost on the Roof,Drama,10,Klaus Scrimshaw,757994,87979,9.52,"Mar 10, 2022",90191
3600,Our Time,Drama,27,,1.8M,120561,9.7,"Nov 11, 2021",287629
2283,Fluidum,Drama,73,GirlsOnFilm,9.8M,204891,9.04,"Oct 20, 2020",1.4M
2833,"Take Me, I'm Yours",Drama,49,RoseBean,4.3M,231424,9.55,"Jun 16, 2021",480232
3092,Moonlight Beauty Parlor,Drama,44,Nawa,3.3M,167318,9.67,"Jul 16, 2021",537945
3476,Mage Again,Fantasy,32,,2M,116200,9.71,"Oct 10, 2021",280231
1578,Da Yomanville Gang,Drama,141,Jason King,18.8M,240137,9.19,"Apr 15, 2019",1.9M
